X;Y;Z;Alteration;Au (gr/ton);Ag (gr/ton);Mineralization_d;Mineralization
41380.20897;802989.5999;434.8879805;3;0.02784592;0.2;Sulfuro;3
41380.68847;802989.4664;434.3943721;3;0.0235378;0.37118402;Sulfuro;3
41381.16781;802989.3328;433.9006284;3;0.783709;0.2;Sulfuro;3
41381.64699;802989.1991;433.4067571;3;1.04992868;0.80485022;Sulfuro;3
41357.57794;802996.0275;442.0957966;2;0.38974712;0.2775862;Mixto;2
41357.10405;802996.1676;441.6056862;2;0.088023;0.3091954;Mixto;2
41356.63037;802996.3088;441.1156589;2;0.05383332;0.2;Mixto;2
41356.1571;802996.449;440.6249499;2;0.06028736;0.3724138;Mixto;2
41355.6066;802996.61;440.0523336;4;1.44936216;6.8972973;Mixto;2
41354.97903;802996.7915;439.3974793;4;0.7378162;24.07567568;Mixto;2
41354.41149;802996.9535;438.8033065;2;0.54186668;15.61333334;Mixto;2
41353.90383;802997.0966;438.2700883;2;0.69653332;13.85333334;Mixto;2
41353.389;802997.2407;437.7281582;4;0.7736958;8.18640776;Mixto;2
41352.86684;802997.3869;437.1779358;4;0.56626536;10.17734628;Mixto;2
41352.34492;802997.5333;436.6275609;4;0.61438188;16.1656958;Mixto;2
41351.82322;802997.6799;436.0770343;4;0.28627832;6.98640776;Mixto;2
41351.3026;802997.8266;435.5272471;2;0.08150648;1.4909091;Sulfuro;3
41350.78306;802997.9733;434.9781985;2;0.06311688;0.22337662;Sulfuro;3
41350.26398;802998.12;434.4287092;2;0.55444156;2.12207792;Sulfuro;3
41349.74589;802998.2663;433.8781792;2;0.66914284;0.2;Sulfuro;3
41349.22906;802998.412;433.3263022;2;0.34893508;0.74545454;Sulfuro;3
41348.71349;802998.557;432.7730783;2;0.3014026;1.72207792;Sulfuro;3
41348.19919;802998.7013;432.218506;2;0.25122076;8.65194806;Sulfuro;3
41347.68614;802998.8449;431.6625817;2;0.23168832;20.3922078;Mixto;2
41347.17416;802998.9879;431.1054933;2;0.4468052;2.27012988;Mixto;2
41346.66258;802999.1303;430.5478997;2;0.12355844;27.0077922;Sulfuro;3
41346.15085;802999.2721;429.9902863;2;0.27428572;6.65974026;Sulfuro;3
41345.64119;802999.4127;429.4350871;4;0.40957204;7.53537118;Sulfuro;3
41345.13359;802999.5521;428.8823017;4;0.20113536;4.93449782;Sulfuro;3
41344.62583;802999.691;428.3295162;4;0.46195632;6.730131;Sulfuro;3
41344.12511;802999.8273;427.7845814;2;0.24292136;2.53258426;Sulfuro;3
41343.6313;802999.9608;427.2475558;2;0.14426068;3.1869663;Sulfuro;3
41343.13705;803000.0933;426.7106577;2;0.40522248;1.26606742;Sulfuro;3
41342.64235;803000.2245;426.1738987;2;0.10530336;0.2;Sulfuro;3
41342.14719;803000.3546;425.6372783;2;0.18586968;0.9730337;Sulfuro;3
41341.65158;803000.4835;425.1007954;2;0.17957752;1.66786516;Sulfuro;3
41353.14084;802986.8932;441.7586281;2;0.37548584;1.60151228;Mixto;2
